,TMC,TMC_HERE,lat_x,lon_x,label
5065,112N04950,112N04950,29.96465,-95.420265,7
5066,112-04951,112N04951,30.02082,-95.42855,7
5067,112-04953,112N04953,29.7912,-95.451985,1
5068,112N04953,112N04953,29.7912,-95.451985,1
5069,112-04954,112N04954,29.803255,-95.453955,1
5070,112N04954,112N04954,29.803255,-95.453955,1
5071,112-04955,112N04955,29.812375,-95.461055,1
5072,112N04955,112N04955,29.812375,-95.461055,1
5073,112-04956,112N04956,29.8233,-95.472865,1
5074,112N04956,112N04956,29.8233,-95.472865,1
5075,112-04957,112N04957,29.834005,-95.484475,1
5076,112N04957,112N04957,29.834005,-95.484475,1
5077,112-04958,112N04958,29.842370000000003,-95.49523,1
5078,112N04958,112N04958,29.842370000000003,-95.49523,1
5079,112-04959,112N04959,29.848975,-95.505605,9
5080,112N04959,112N04959,29.848975,-95.505605,9
5081,112-04960,112N04960,29.8539,-95.51434499999999,9
5082,112N04960,112N04960,29.8539,-95.51434499999999,9
5083,112-04961,112N04961,29.86018,-95.52628,9
5084,112N04961,112N04961,29.86018,-95.52628,9
5085,112-04962,112N04962,29.867005,-95.54083,9
5086,112N04962,112N04962,29.867005,-95.54083,9
5087,112-04970,112N04970,29.783955,-95.492615,8
5088,112-05131,112N05131,29.696790000000004,-95.643845,7
5089,112N05131,112N05131,29.696790000000004,-95.643845,7
5090,112-05132,112N05132,29.70494,-95.643975,7
5091,112N05132,112N05132,29.70494,-95.643975,7
5092,112-05133,112N05133,29.71295,-95.644095,7
5093,112N05133,112N05133,29.71295,-95.644095,7
5094,112-05134,112N05134,29.724495,-95.64409,7
5095,112N05134,112N05134,29.724495,-95.64409,7
5096,112-05135,112N05135,29.732265,-95.64404,7
5097,112N05135,112N05135,29.732265,-95.64404,7
5098,112-05136,112N05136,29.74564,-95.64433000000001,7
5099,112N05136,112N05136,29.74564,-95.64433000000001,7
5100,112-05137,112N05137,29.765584999999998,-95.644295,7
5101,112N05137,112N05137,29.765584999999998,-95.644295,7
5102,112-05138,112N05138,29.779825,-95.64445500000001,7
5103,112-05139,112N05139,29.798770000000005,-95.645205,7
5104,112N05139,112N05139,29.798770000000005,-95.645205,7
5105,112-05140,112N05140,29.814045,-95.645575,7
5106,112-05141,112N05141,29.825380000000006,-95.64564,7
5107,112-05142,112N05142,29.842454999999998,-95.64572,7
5108,112N05142,112N05142,29.842454999999998,-95.64572,7
5109,112-05143,112N05143,29.858265000000003,-95.645465,7
5110,112-05144,112N05144,29.873365000000003,-95.64524499999999,7
5111,112N05144,112N05144,29.873365000000003,-95.64524499999999,7
5112,112-05145,112N05145,29.88508,-95.643375,7
5113,112-05148,112N05148,29.91198,-95.62465,7
5114,112N05148,112N05148,29.91198,-95.62465,7
5115,112-05149,112N05149,29.915705,-95.618025,7
